who is playing  e1  on general hospital	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
what are all the movies  e1  has been in	film actor film film performance film
where does  e1  play	american_football football_player current_team sports sports_team_roster team
who is married to  e1 	award award_nominee award_nominations award award_nomination award_nominee
who was  e1  in soul surfer	film actor film film performance character
what university did  e1  go to	people person education education education institution
what did  e1  make	law inventor inventions
who is the voice of  e1  from family guy	cvg game_character games cvg game_performance voice_actor
what county is  e1  in	travel transport_terminus travel_destinations_served travel transportation travel_destination
who does  e1  play for 2011	sports pro_athlete teams soccer football_roster_position team
who did  e1  sign with	sports pro_athlete teams sports sports_team_roster team
who plays  e1   s voice family guy	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
who did  e1  play for before celtics	sports drafted_athlete drafted sports sports_league_draft_pick team
what team does  e1  play for	sports pro_athlete teams basketball basketball_historical_roster_position team
what are all the inventions  e1  made	law inventor inventions
where did the  e1  live	language human_language main_country
who played  e1  in phantom menace	film film_character portrayed_in_films film performance actor
who succeeded  e1  as president	government us_president vice_president
who is  e1  husband name	base popstra celebrity infidelity_perpetrator base popstra infidelity participant
where is the  e1  located	organization organization headquarters location mailing_address citytown
where is  e1  located on a map	location location containedby
what state  e1  was born	base popstra celebrity vacations_in base popstra vacation_choice location
who did  e1  sign with	base schemastaging athlete_extra salary base schemastaging athlete_salary team
where is  e1  florida on the map	location location containedby
who voices  e1  in looney tunes	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
what airport is close to  e1 	location location nearby_airports
what are the greek  e1 	symbols name_source namesakes
what movie did  e1  direct	film producer film
what is time zone in  e1 	location location time_zones
where did  e1  live before he died	people person place_of_birth
what years did  e1  play	sports sports_award_winner awards sports sports_award season
where did  e1  indians live	people ethnicity included_in_group
what countries share borders with  e1 	location location adjoin_s location adjoining_relationship adjoins
which countries have  e1  as native language	language human_language main_country
what year were the  e1  founded	sports sports_team founded
what college did  e1  attend	people person education education education institution
what  e1  do	film film_subject films
which party did  e1  belong to	government politician party government political_party_tenure party
what super bowls have the  e1  won	sports sports_team championships
who started  e1 	organization organization leadership organization leadership person
what to do in  e1  for a week	travel travel_destination tourist_attractions
where in  e1  are scorpions found	location administrative_division capital location administrative_division_capital_relationship capital
what was queen  e1  of	people person nationality
what kind of language do they speak in  e1 	location country official_language
who plays young  e1  in supernatural	tv tv_character appeared_in_tv_episodes tv tv_guest_role actor
who did  e1  sign with	sports pro_athlete teams basketball basketball_roster_position team
what does  e1  people speak	location country official_language
who is  e1  jr s father	fictional_universe fictional_character parents
what battle did  e1  surrender in ww2	location country capital
what country is the  e1  located in	location administrative_division country
what college did  e1 	sports drafted_athlete drafted sports sports_league_draft_pick school
who all has  e1  played for	sports sports_award_winner awards sports sports_award team
what form of government does  e1  have	location country form_of_government
when did the  e1  win the pennant	sports sports_team championships
who nominated  e1 	people appointee position people appointment appointed_by
what art movements was  e1  involved in	visual_art visual_artist associated_periods_or_movements
what state is  e1  in	location location containedby
who played  e1   s boyfriend on seinfeld	fictional_universe fictional_character character_created_by
who did  e1  really love	celebrities celebrity sexual_relationships celebrities romantic_relationship celebrity
who does  e1  belong to	base biblioness bibs_location country
who plays  e1  in family guy	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
what is the primary language of  e1 	location country languages_spoken
when did  e1  won x factor	tv tv_personality tv_regular_appearances tv tv_regular_personal_appearance seasons
what do the  e1  believe	religion religion collective_term_for_adherents
what language do  e1  speak	location country languages_spoken
what school did  e1  attend	people person education education education institution
what countries did  e1  rule	government political_appointer appointees government government_position_held jurisdiction_of_office
what type of currency does the  e1  have	location statistical_region gni_per_capita_in_ppp_dollars measurement_unit dated_money_value currency
what kind of currency do they use in  e1 	location country currency_used
where did  e1  tornado hit	user ameroamigo default_domain federal_reserve_bank federal_reserve_region
what band does  e1  sing for	music group_member membership music group_membership group
what language do you speak in  e1 	location country languages_spoken
where was  e1  born	people person places_lived people place_lived location
where is  e1  located	location location containedby
who was  e1  married to	people person spouse_s people marriage spouse
what did  e1  propose as the mechanism of evolution	people person quotations
where is  e1  located	architecture building building_complex
who plays  e1  in skins uk	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
what did  e1  conducted his experiments on	book author works_written
what countries did  e1  work in	people deceased_person place_of_death
where is  e1  ohio	location hud_county_place county
what city was  e1  born in	music artist origin
who does  e1  play for in 2012	base x2010fifaworldcupsouthafrica world_cup_participant world_cup_team base x2010fifaworldcupsouthafrica current_world_cup_squad current_club
who does  e1  play for	sports pro_athlete teams american_football football_roster_position team
what type of art does  e1  do	visual_art visual_artist art_forms
who did  e1  marry	base famouspets pet_owner pets_owned base famouspets pet_ownership owner
where is  e1  buried	people deceased_person place_of_death
when does  e1  race tonight	sports pro_athlete sports_played_professionally sports pro_sports_played sport
who was  e1  in crazy stupid love	film actor film film performance character
what is the  e1  current roster	sports sports_team roster basketball basketball_roster_position player
what does  e1  have a degree in	people person education education education major_field_of_study
who played  e1  in star wars movies	film film_character portrayed_in_films film performance actor
what year did  e1  win the world series	sports sports_team championships
what did  e1  direct	tv tv_actor starring_roles tv regular_tv_appearance series
who plays  e1  in buffy the vampire slayer	tv tv_character appeared_in_tv_episodes tv tv_guest_role actor
where is tomb of  e1 	people person places_lived people place_lived location
where did  e1  grow up	people person places_lived people place_lived location
what country is  e1  from	people person nationality
where was emperor  e1  born	people person place_of_birth
who has  e1  played for	sports pro_athlete teams soccer football_roster_position team
where do cherry trees grow in the  e1 	location country capital
where is  e1  located	location location containedby
when did  e1  leave usc	american_football football_player passing american_football player_passing_statistics season
what did  e1  die from	people deceased_person cause_of_death
what religions are recognized in  e1 	location statistical_region religions location religion_percentage religion
what is the current government system in  e1 	location country form_of_government
what time is it in  e1  24 hour clock	location location time_zones
what  e1  baby girls name	people person children
what is the  e1  current roster	basketball basketball_team roster sports sports_team_roster player
where is  e1 	geography island body_of_water
where is  e1  texas	location capital_of_administrative_division capital_of location administrative_division_capital_relationship administrative_division
where is the  e1  located	location location containedby
who plays  e1  on desperate housewives	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
where did  e1  go to school	people person education education education institution
what to see in  e1  at night	travel travel_destination tourist_attractions
what is the government of  e1  today	location country form_of_government
where is  e1  now	sports pro_athlete teams american_football football_roster_position team
who were queen  e1  parents	people person parents
where the  e1  language come from	language human_language language_family
who is  e1  husband name	base popstra celebrity infidelity_victim base popstra infidelity perpetrator
what does  e1  border	base locations countries continent
where did  e1  land	people person nationality
what language do  e1 	location country official_language
where is the  e1  located	location location containedby
what district does  e1  represent	government politician government_positions_held government government_position_held district_represented
what countries does  e1  export wheat to	location statistical_region places_exported_to location imports_and_exports exported_to
who was the queen of the  e1  tribe	military military_combatant military_commanders military military_command military_commander
who does  e1  play for	ice_hockey hockey_player former_team_s ice_hockey hockey_previous_roster_position team
who does  e1  play for in 2012	soccer football_player loans soccer football_player_loan lending_team
where are  e1  located	location location containedby
what is the official language of  e1  and 3 other dialects	location country official_language
where are you if you re in  e1 	location administrative_division country
who was killed first  e1  or biggie	book author book_editions_published
who played elaine  s boyfriend on  e1 	film film_character portrayed_in_films film performance actor
who does  e1  play for	american_football football_player former_teams sports sports_team_roster team
what country is the  e1  located in	location location containedby
who is playing  e1  in the avengers movie	film film_character portrayed_in_films film performance actor
what teams did  e1  play for in the nba	sports drafted_athlete drafted sports sports_league_draft_pick team
what did  e1  play in journey	music artist track_contributions music track_contribution role
where did  e1  do his work	people person employment_history business employment_tenure company
what did  e1  do before he was president	people person profession
what type of currency is used in  e1 	location statistical_region gdp_real measurement_unit dated_money_value currency
what was  e1  nationality	people person nationality
where does  e1  metallica live	music artist origin
what airport do you fly into for  e1 	travel travel_destination how_to_get_here travel transportation mode_of_transportation
what country does  e1  trade with	location statistical_region places_exported_to location imports_and_exports exported_to
what position does  e1  play	american_football football_player current_team sports sports_team_roster position
what party did  e1  belong to	government politician party government political_party_tenure party
what teams does  e1  own	sports sports_team_owner teams_owned
where was princess  e1  raised	fictional_universe fictional_character place_of_birth
what is the legislature of  e1  called	government governmental_jurisdiction government_bodies
who does  e1  play 4	user szaijan fantasy_football player nfl_team
where did  e1  die	people deceased_person place_of_death
who played  e1 	film film_character portrayed_in_films film performance actor
where is the  e1  located	organization organization headquarters location mailing_address state_province_region
who was the emperor before  e1 	user robert roman_empire roman_emperor prececessor
what football teams did  e1  play for	sports pro_athlete teams american_football football_historical_roster_position team
what countries did queen  e1  rule	government political_appointer appointees government government_position_held jurisdiction_of_office
where did  e1  play in college	people person education education education institution
who is the head coach of the  e1 	american_football football_team current_head_coach
what do they speak in  e1 	location country languages_spoken
what teams played in the 2010  e1 	user rcheramy default_domain hockey_championship champion
what position does  e1 	basketball basketball_player team sports sports_team_roster position
what school did  e1  go to	people person education education education institution
where is the  e1  studio	broadcast content location
what type of currency is used in  e1 	location statistical_region diesel_price_liter measurement_unit dated_money_value currency
what club team does  e1  play for	base schemastaging athlete_extra salary base schemastaging athlete_salary team
what religion did  e1  follow	people person religion
who drafted  e1 	sports pro_athlete teams basketball basketball_historical_roster_position team
what was  e1  known for	film writer film
what does  e1  own	business board_member leader_of organization leadership organization
what style of art did  e1  do	visual_art visual_artist associated_periods_or_movements
who did  e1  play for	soccer football_player goals_scored soccer football_goal point_awarded_to
where is  e1  located	location location containedby
who did  e1  wrote her diary to	media_common quotation_subject quotations_about_this_subject
who does  e1  play for	sports pro_athlete teams sports sports_team_roster team
what state does  e1 	people person places_lived people place_lived location
what movies have  e1  been in	film producer film
what movie did  e1  write	film director film
what position does  e1  play	sports pro_athlete teams american_football football_historical_roster_position position_s
what is calabria  e1 	base aareas schema administrative_area subdividing_type
who does  e1  play for	sports drafted_athlete drafted sports sports_league_draft_pick team
what position does  e1  play	sports pro_athlete teams american_football football_roster_position position
where does  e1  metallica live	music artist origin
what currency to take to side  e1 	location country currency_used
what are the gods of  e1 	religion religion deities
what movies did  e1  play in	film actor film film performance film
where does ben stiller live in  e1 	base militaryinfiction location_in_fiction contained_by
who will  e1  play for in 2011	base schemastaging athlete_extra salary base schemastaging athlete_salary team
what county is  e1  il in	location hud_county_place county
where is  e1  headquarters	organization organization headquarters location mailing_address citytown
what are the places to see in  e1 	travel travel_destination tourist_attractions
what are all the names of  e1  potter	film film_character portrayed_in_films film performance film
who shot and killed  e1 	user dfhuynh default_domain assassinated_person assassination user dfhuynh default_domain assassination assassin
where did  e1  play	sports pro_athlete teams basketball basketball_roster_position position
who the voice of  e1 	cvg game_character games cvg game_performance voice_actor
what continent is  e1  located in	base locations countries continent
what is  e1   s son name	people person children
where is  e1 	location hud_county_place county
what is the capital of  e1  state	location us_state capital
when did  e1  become famous	olympics olympic_athlete country olympics olympic_athlete_affiliation olympics
where to stay in  e1 	travel travel_destination accommodation
where is  e1  in the map	user narphorium default_domain base_equivalent_location base
what city is fc  e1  04 in	organization organization headquarters location mailing_address citytown
who is the new governor of  e1  2011	government governmental_jurisdiction governing_officials government government_position_held appointed_by
who does  e1  play for	sports pro_athlete teams sports sports_team_roster team
what is the capital of  e1 	location administrative_division capital location administrative_division_capital_relationship capital
who is  e1 	people person profession
who is  e1  wife bio	people person spouse_s people marriage spouse
where is san miguel  e1  on map	base aareas schema administrative_area administrative_parent
what team does  e1  play 4	american_football football_player rushing american_football player_rushing_statistics team
what is  e1  doing now	people person profession
what games did  e1  make	cvg cvg_developer game_versions_developed
what city did  e1  live in	people person place_of_birth
where did the  e1  live	location location containedby
what money is used in the  e1 	location country currency_used
where was  e1  born	people person place_of_birth
who was  e1  and what did he do	symbols name_source namesakes
what is the  e1  current roster	basketball basketball_team roster basketball basketball_roster_position player
what happened at  e1  nuclear plant	event disaster_affected_structure damaged_by_disasters
where is  e1  tennessee whiskey made	distilled_spirits distillery region
where did the  e1  originate	user dylanrocks national_football_league nfl_teams_that_have_moved_cities old_team_name
where is  e1  located	organization organization headquarters location mailing_address citytown
what sights to see in  e1 	travel travel_destination tourist_attractions
where did  e1  grow up	people deceased_person place_of_death
what county is  e1  in	location location containedby
where does  e1  get her money	people person profession
who plays  e1  in fringe	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
where is the capital of  e1  on the map	location country capital
who created  e1  and when	organization organization founders
what time is  e1  now	location location time_zones
what team does  e1  play for	sports pro_athlete teams american_football football_roster_position team
what disease did  e1 	base qualia disabled_person disability base qualia disability type_of_disability
what county is  e1  in	travel transport_terminus travel_destinations_served travel transportation travel_destination
what does the  e1  border	location location contains
who plays  e1  on family guy	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
what team does  e1  play for 2011	sports pro_athlete teams american_football football_historical_roster_position team
who plays stewie griffin  s voice  e1 	tv tv_program regular_cast tv regular_tv_appearance actor
who did  e1  play for	sports sports_team_coach teams_coached sports sports_team_coach_tenure team
what movies has  e1  been in	film actor film film performance film
where does  e1  live right now 2010	people person places_lived people place_lived location
who did  e1  sign with	basketball basketball_player team basketball basketball_roster_position team
who does  e1  play for now 2010	basketball basketball_player position_s
who does the voice of  e1  in family guy	film film_character portrayed_in_films film performance actor
where is  e1  missouri	dataworld gardening_hint split_to
where did  e1  attend college	people person education education education institution
what country does  e1  export to	location statistical_region places_imported_from location imports_and_exports imported_from
what country does  e1  come from	language human_language main_country
what kind of economy was the  e1 	location country form_of_government
where do the  e1  play baseball	base schemastaging sports_team_extra training_ground base schemastaging team_training_ground_relationship facility
what county is  e1  in	location hud_county_place county
where is glastonbury  e1 	location location containedby
what country did vasco  e1  come from	people person nationality
where did  e1  go to school	people person education education education institution
who plays jacob black in  e1 	award award_winning_work awards_won award award_honor award_winner
what kind of economy does  e1  has	location country form_of_government
who does  e1  play for in the nba	sports pro_athlete teams basketball basketball_roster_position team
what team  e1 	basketball basketball_player former_teams basketball basketball_historical_roster_position team
what did  e1  discover or invent	base argumentmaps innovator original_ideas
who did  e1  have a baby with	people person spouse_s people marriage spouse
what places can you visit in  e1 	base aareas schema administrative_area administrative_children
what team did  e1  play for first	basketball basketball_player team basketball basketball_roster_position team
what time zone is  e1  in right now	location location time_zones
what team does  e1  play 4	american_football football_player games american_football player_game_statistics team
who does  e1  play for in the nba	sports pro_athlete teams basketball basketball_roster_position team
what is the  e1  starting lineup	sports sports_team roster basketball basketball_roster_position player
what type of paintings did  e1  do	visual_art visual_artist associated_periods_or_movements
what team did  e1  play for first	base schemastaging athlete_extra salary base schemastaging athlete_salary team
what do you speak in  e1 	location country languages_spoken
what did  e1  accomplish	symbols name_source namesakes
which countries does  e1  border	location location adjoin_s location adjoining_relationship adjoins
what country vasco  e1  sail for	people person nationality
who has  e1  played for	sports pro_athlete teams sports sports_team_roster team
who is  e1  married to in real life	fictional_universe fictional_character married_to fictional_universe marriage_of_fictional_characters spouses
what airport is close to  e1 	location location nearby_airports
when did  e1  leave usc	american_football football_player rushing american_football player_rushing_statistics season
who plays  e1  on the wire	tv tv_character appeared_in_tv_program tv regular_tv_appearance actor
what state was  e1  governor of	government politician government_positions_held government government_position_held jurisdiction_of_office
what teams did  e1  won rings with	basketball basketball_player player_statistics basketball basketball_player_stats team
where does the  e1  end	geography river mouth
what is the capital city of  e1  usa	base aareas schema administrative_area capital
what state was  e1  elected from	people person places_lived people place_lived location
where does ben stiller live in  e1 	location location containedby
what is currency in  e1 	location statistical_region gdp_real measurement_unit dated_money_value currency
what is the  e1  starting lineup	basketball basketball_team roster sports sports_team_roster player
what team does  e1  play for 2013	sports pro_athlete teams sports sports_team_roster team
where did  e1  die	people deceased_person place_of_death
what is the name of  e1  of spain	government political_district representatives government government_position_held jurisdiction_of_office
who does  e1  play for	american_football football_player current_team american_football football_roster_position team
what was  e1  known for	people person profession
what currency is used in  e1  2012	location country currency_used
what language is mainly spoken in  e1 	location country official_language
what city is  e1  in	location location containedby
who did  e1  fight for	military military_person service military military_service military_force
what did  e1  died from	people deceased_person cause_of_death
what state is  e1  located	location location containedby
where are  e1  snow blowers made	organization organization place_founded
when did  e1  won the gold medal	olympics olympic_athlete medals_won olympics olympic_medal_honor olympics
who started  e1 	business employer employees business employment_tenure person
where to stay in thailand  e1 	location location time_zones
who started the  e1 	organization organization founders
what kind of money does the  e1  use	location country currency_used
what county is  e1  in	location capital_of_administrative_division capital_of location administrative_division_capital_relationship administrative_division
what did  e1  contribute to science	symbols name_source namesakes
when was bill clinton elected  e1 	base politicalconventions presidential_nominee nominated_at
what were  e1   s parents names	people person parents
where did  e1  live	people person places_lived people place_lived location
what illnesses did  e1  suffer from	medicine notable_person_with_medical_condition condition
what did  e1  say on the moon	music artist track
what college did  e1 	people person education education education institution
what did  e1  do for a living	people person profession
what do  e1  people speak	location location adjectival_form
where did  e1  live in	people person places_lived people place_lived location
who is the head coach of the  e1 	ice_hockey hockey_team coach
what university did  e1  graduate from	people person education education education institution
in what modern country is the  e1  located	location location containedby
what time zone is it in  e1  england	location location time_zones
what 4 teams did  e1  play for	ice_hockey hockey_player former_team_s sports sports_team_roster team
what position does  e1 	basketball basketball_player team basketball basketball_roster_position position
what state did  e1  live in	government politician government_positions_held government government_position_held district_represented
who does  e1  play for now nov 2010	american_football football_player former_teams american_football football_historical_roster_position team
which country does  e1  language come from	location country official_language
where is  e1  on a map	location location containedby
where is  e1  located	location hud_county_place county
where is the  e1  located	location location containedby
where did  e1  people come from	dataworld gardening_hint split_to
who is  e1   s daughter	people person children
who played  e1  friend in terminator 2	film film_character portrayed_in_films film performance actor
what influenced  e1  to be an artist	influence influence_node influenced_by
what college  e1  go to	people person education education education institution
what is the name of the  e1  head coach	sports sports_team coaches sports sports_team_coach_tenure coach
what kind of government does  e1  have today	location country form_of_government
what currency is used in  e1  2012	location country gdp_nominal_per_capita measurement_unit dated_money_value currency
where did  e1  tale take place	location us_county county_seat
who does  e1  play for	sports pro_athlete teams sports sports_team_roster team
who did  e1  play for	basketball basketball_player team basketball basketball_roster_position team
what language do native american  e1  speak	people ethnicity languages_spoken
what kind of currency does  e1  have	location country currency_used
who did  e1  get traded to	sports drafted_athlete drafted sports sports_league_draft_pick school
who was  e1   s wife	people person spouse_s people marriage spouse
who is playing  e1  in the hobbit movie	film film_character portrayed_in_films film performance actor
what country did  e1  explored for	people person nationality
what country was  e1  born	people person nationality
where does  e1  live 2010	people person place_of_birth
what currency does  e1  use	location country currency_used
who was  e1  american revolution	military military_person service military military_service military_force
who did  e1  have a baby with	base popstra celebrity canoodled base popstra canoodled participant
what school did  e1  go to before auburn	people person education education education institution
where are the  e1  on a world map	location location containedby
what teams did  e1  play for in the nba	sports pro_athlete teams basketball basketball_roster_position team
who is in the band  e1 	music musical_group member music group_membership member
which countries do  e1  border	location location adjoin_s location adjoining_relationship adjoins
what are the two dialects of  e1 	location country official_language
what team did  e1  play for in baseball	baseball baseball_player former_teams sports sports_team_roster team
what year did the  e1  start	sports sports_team founded
where is spain located what  e1 	location location adjoin_s location adjoining_relationship adjoins
what language does people in  e1  speak	location country official_language
where is  e1  located	location administrative_division first_level_division_of
when do they change the time in  e1 	location location time_zones
who created  e1 	business employer employees business employment_tenure person
what do  e1  do for a living	people person profession
what is the capital of  e1  known for its bluegrass	base aareas schema administrative_area capital
what colony is  e1  from	people person places_lived people place_lived location
what countries are on the  e1 	location location partially_contains
who does  e1  play for	american_football football_player former_teams american_football football_historical_roster_position team
who will  e1  play for in 2011	sports pro_athlete teams american_football football_historical_roster_position team
what is the origin of the  e1  language	language human_language language_family
what timezone is  e1  in	location location time_zones
where  e1  was raised	people person place_of_birth
what language do  e1  speak	location country official_language
what is the major language of  e1 	location country languages_spoken
what are all the countries in  e1 	organization membership_organization members organization organization_membership member
where does  e1  live	people person place_of_birth
what state was  e1  a senator for	base government2 elected_official elected_positions_held base government2 elected_government_positions_held district_represented
what is the official language spoken in  e1 	location country official_language
who is married to  e1 	people person spouse_s people marriage spouse
what does  e1  that mean	tv tv_character appeared_in_tv_program tv regular_tv_appearance series
what empire did  e1  rule	royalty monarch kingdom
what language do  e1  in ghana speak	location country official_language
what club team is  e1  on	soccer football_player goals_scored soccer football_goal point_awarded_to
where is  e1  now	sports drafted_athlete drafted sports sports_league_draft_pick team
what groups was  e1  involved in	government politician party government political_party_tenure party
what influenced  e1   s work	influence influence_node influenced_by
what currency to take to side  e1 	location country currency_formerly_used
what language does  e1  use	people ethnicity languages_spoken
what was the name of  e1  parents	symbols namesake named_after
what medium is the school of  e1 	symbols namesake named_after
where is  e1  golf masters	base biblioness bibs_location country
who does  e1  play for in 2013	base schemastaging athlete_extra salary base schemastaging athlete_salary team
where is spain located what  e1 	base skosbase vocabulary_equivalent_topic equivalent_concept
